model,fold,roc_auc,pr_auc,f1,balanced_accuracy,precision,recall,specificity,brier_score
logistic_regression,1,0.9070738399141118,0.907880218774188,0.8653846153846154,0.8431349159012287,0.8411214953271028,0.8910891089108911,0.7951807228915663,0.11491458642476808
logistic_regression,2,0.905428024868484,0.923111242430394,0.8307692307692308,0.8238880918220947,0.8709677419354839,0.7941176470588235,0.8536585365853658,0.1255871722055141
logistic_regression,3,0.8946676231468197,0.9219949917590102,0.8571428571428571,0.8411047345767575,0.8613861386138614,0.8529411764705882,0.8292682926829268,0.1299333254493169
logistic_regression,4,0.8499521759923482,0.8658090610740108,0.7794871794871795,0.7688904830224773,0.8172043010752689,0.7450980392156863,0.7926829268292683,0.16223667357685256
logistic_regression,5,0.8956241032998565,0.8871320364053088,0.8543689320388349,0.8338115734098518,0.8461538461538461,0.8627450980392157,0.8048780487804879,0.12153871689689828
random_forest,1,0.8972324943337707,0.8726853504601182,0.8666666666666667,0.8420613145651914,0.8348623853211009,0.900990099009901,0.7831325301204819,0.12158338994565218
random_forest,2,0.898792443806791,0.9097584515680167,0.8585365853658536,0.8399091343854614,0.8543689320388349,0.8627450980392157,0.8170731707317073,0.12649035326086958
random_forest,3,0.8686035389765662,0.8601456343895941,0.8325358851674641,0.8045193687230989,0.8130841121495327,0.8529411764705882,0.7560975609756098,0.1431366847826087
random_forest,4,0.8638211382113821,0.8803571146365159,0.8,0.7739120038259206,0.7961165048543689,0.803921568627451,0.7439024390243902,0.1505786005434783
random_forest,5,0.894846963175514,0.8673708740399226,0.8598130841121495,0.8290291726446677,0.8214285714285714,0.9019607843137255,0.7560975609756098,0.12309728260869567
knn,1,0.7477633305499225,0.7673396774820752,0.7314814814814815,0.6742216390313731,0.6869565217391305,0.7821782178217822,0.5662650602409639,0.20270531400966185
knn,2,0.7802486848397895,0.8104995955550175,0.75,0.7116212338593975,0.7358490566037735,0.7647058823529411,0.6585365853658537,0.1903864734299517
knn,3,0.7347560975609757,0.7373197722748748,0.7192118226600985,0.6871114299378288,0.7227722772277227,0.7156862745098039,0.6585365853658537,0.2106521739130435
knn,4,0.720468675274988,0.7517984040033351,0.6889952153110048,0.6395265423242468,0.6728971962616822,0.7058823529411765,0.573170731707317,0.21224637681159425
knn,5,0.7577714012434242,0.7511455598936683,0.7246376811594203,0.6847202295552368,0.7142857142857143,0.7352941176470589,0.6341463414634146,0.20082125603864737
